죄종별(1),죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
죄종별(1),죄종별(2),계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상
죄종별(1),죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
계,소계,1494421,330824,655900,141663,96716,73425,54547,43735,34138,28092,21959,161625,507697
강력범죄,소계,26971,7818,12790,3011,1981,1364,1062,855,653,604,392,2868,6363
강력범죄,살인기수,341,87,163,33,19,9,20,11,9,8,3,51,91
강력범죄,살인미수등,454,127,245,45,29,19,23,17,15,13,10,74,82
강력범죄,강도,1202,310,745,126,93,73,55,39,29,32,22,276,147
강력범죄,강간,6113,1573,2361,599,374,244,189,149,111,101,64,530,2179
강력범죄,유사강간,934,331,379,101,59,42,34,25,17,17,6,78,224
강력범죄,강제추행,16382,5043,7906,1928,1280,864,658,546,416,387,252,1575,3433
강력범죄,기타 강간·강제추행등,349,92,197,41,30,27,17,11,7,9,6,49,60
강력범죄,방화,1196,255,794,138,97,86,66,57,49,37,29,235,147
절도범죄,소계,98425,33627,54665,11822,7663,5489,4113,3332,2662,2281,1792,15511,10133
폭력범죄,소계,313990,61284,147141,27905,20263,16150,12360,10352,8202,6625,5364,39920,105565
폭력범죄,상해,43552,10668,28591,4985,3789,3100,2340,2025,1653,1325,1092,8282,4293
폭력범죄,폭행,178448,28276,70260,13404,9638,7830,5975,4946,3894,3176,2488,18909,79912
폭력범죄,체포·감금,1695,267,709,131,103,67,47,42,45,31,26,217,719
폭력범죄,협박,22507,4004,11389,2020,1553,1194,1040,831,682,564,409,3096,7114
폭력범죄,약취·유인,296,63,117,34,13,12,2,8,1,3,3,41,116
폭력범죄,폭력행위등,25342,8464,11929,2786,1783,1336,937,794,591,462,431,2809,4949
폭력범죄,공갈,3434,847,1472,287,201,124,92,99,78,67,50,474,1115
폭력범죄,손괴,38716,8695,22674,4258,3183,2487,1927,1607,1258,997,865,6092,7347
지능범죄,소계,307706,46992,115367,20246,14294,11571,8633,7475,5943,5034,3983,38188,145347
지능범죄,직무유기,947,70,19,10,7,1,-,-,-,-,-,1,858
지능범죄,직권남용,1021,112,25,18,5,-,-,-,-,-,-,2,884
지능범죄,증수뢰,807,215,311,98,58,37,25,16,11,7,9,50,281
지능범죄,통화,86,6,22,2,-,5,1,-,1,4,2,7,58
지능범죄,문서·인장,15465,2705,4257,915,579,468,352,257,202,187,152,1145,8503
지능범죄,유가증권인지,117,6,39,5,5,2,-,4,1,1,3,18,72
지능범죄,사기,245009,35135,96013,15729,11418,9425,7054,6214,4903,4222,3379,33669,113861
지능범죄,횡령,35930,7933,13170,3075,1984,1431,1076,880,741,555,398,3030,14827
지능범죄,배임,8324,810,1511,394,238,202,125,104,84,58,40,266,6003
풍속범죄,소계,34671,12355,18747,4382,3028,2346,1659,1314,992,817,657,3552,3569
풍속범죄,성풍속범죄,13546,6871,4814,1532,835,541,374,251,210,157,130,784,1861
풍속범죄,도박범죄,21125,5484,13933,2850,2193,1805,1285,1063,782,660,527,2768,1708
특별경제범죄,소계,67904,15690,32045,6530,4440,3375,2657,2032,1625,1292,1031,9063,20169
마약범죄,소계,11630,4445,6160,1171,744,463,374,319,246,214,195,2434,1025
보건범죄,소계,21810,8202,9854,3022,1813,1267,812,605,432,338,265,1300,3754
환경범죄,소계,4329,719,2944,422,416,317,296,204,170,130,121,868,666
교통범죄,소계,356446,78667,143557,37206,24515,17964,12928,9687,7363,6032,4409,23453,134222
노동범죄,소계,613,134,347,73,46,33,27,28,19,23,7,91,132
안보범죄,소계,678,228,373,97,52,50,45,27,22,13,14,53,77
선거범죄,소계,1545,354,606,173,127,70,53,27,20,28,21,87,585
병역범죄,소계,3164,908,1977,453,389,264,214,146,118,74,68,251,279
기타범죄,소계,244539,59401,109327,25150,16945,12702,9314,7332,5671,4587,3640,23986,75811
